Date,Open,High,Low,Close,Volume BTC
2020-03-12,7961.3,7967.3,4672.3,4850.0,39800.71505227
2020-03-13,4850.0,5999.0,3913.1,5630.2,45110.87342509
2020-03-14,5630.2,5664.9,5057.0,5162.2,11373.58938992
2020-03-15,5163.1,6002.2,5092.6,5340.1,14972.44241729
2020-03-16,5339.7,5345.8,4331.7,5042.3,25217.66913966
2020-03-17,5044.0,5565.1,4942.0,5331.7,17512.03843833
2020-03-18,5334.3,5450.0,5015.9,5415.2,17389.77099803
2020-03-19,5419.3,6433.6,5270.1,6184.5,21672.56794101
2020-03-20,6185.3,7020.0,5680.0,6206.8,22752.76020803
2020-03-21,6207.0,6469.9,5850.0,6196.3,11088.60927023
2020-03-22,6196.3,6419.9,5748.7,5825.5,11834.23997828
2020-03-23,5820.6,6615.0,5688.1,6505.1,16490.58491787
2020-03-24,6498.4,6875.0,6404.0,6769.0,15187.88737389
2020-03-25,6766.8,6985.0,6462.5,6689.9,12154.11551176
2020-03-26,6690.0,6796.2,6524.8,6767.0,7007.12459154
2020-03-27,6764.2,6869.0,6280.0,6376.4,9964.06390661
2020-03-28,6376.3,6376.4,6039.0,6251.8,9047.77713744
2020-03-29,6252.6,6281.1,5866.3,5875.0,6451.48074249
2020-03-30,5875.0,6640.0,5851.0,6403.2,11024.05146764
2020-03-31,6403.8,6525.0,6336.0,6422.1,6173.38589792
2020-04-01,6422.2,6710.0,6157.4,6662.9,11298.75259834
2020-04-02,6662.9,7269.0,6576.4,6803.8,18344.45513512
2020-04-03,6800.5,7053.3,6610.0,6738.6,11139.79871481
2020-04-04,6738.6,7002.0,6654.5,6873.2,6160.36258014
2020-04-05,6873.0,6910.1,6681.8,6779.4,3842.23364298
2020-04-06,6778.7,7370.0,6774.2,7343.5,12052.07455138
2020-04-07,7342.3,7474.9,7080.0,7206.2,10959.24109233
2020-04-08,7204.7,7425.7,7157.0,7368.0,7513.67368316
2020-04-09,7366.3,7378.1,7091.9,7294.1,7172.46709718
2020-04-10,7294.1,7304.5,6750.0,6873.8,10944.24981389
2020-04-11,6873.7,6960.0,6771.4,6889.6,4297.11045169
2020-04-12,6886.8,7216.5,6795.0,6903.7,7413.51868624
2020-04-13,6903.7,6903.9,6560.0,6861.6,10209.63615758
2020-04-14,6862.1,6985.0,6772.7,6874.5,5897.65064809
2020-04-15,6874.6,6938.8,6601.0,6619.8,6376.29262691
2020-04-16,6618.1,7212.2,6478.6,7114.9,14381.39167045
2020-04-17,7112.4,7157.8,6989.7,7034.1,5728.81106563
2020-04-18,7034.5,7300.0,7025.4,7259.0,4787.19773175
2020-04-19,7258.9,7276.1,7066.2,7127.6,3469.26761388
2020-04-20,7125.8,7224.0,6760.2,6839.2,7408.89086987
2020-04-21,6838.2,6952.6,6773.1,6852.1,4638.37896165
2020-04-22,6855.0,7165.0,6819.8,7136.9,5933.87000545
2020-04-23,7136.8,7790.0,7035.2,7485.0,11413.46162252
2020-04-24,7489.8,7610.0,7370.0,7507.8,7417.32530007
2020-04-25,7509.4,7731.8,7442.2,7550.1,5605.49059654
2020-04-26,7550.0,7710.0,7480.0,7703.9,4518.49022689
2020-04-27,7706.6,7795.0,7629.7,7792.4,6358.90421104
2020-04-28,7792.4,7794.9,7671.1,7755.8,4236.80566423
